"year","state","month","number","date"
2000,"Alagoas","Fevereiro",16,2000-01-01
2002,"Distrito Federal","Dezembro",1,2002-01-01
2000,"Amapa","Setembro",19,2000-01-01
2011,"Acre","Dezembro",4,2011-01-01
2011,"Alagoas","Agosto",4,2011-01-01
2015,"Par�","Novembro",9.643,2015-01-01
2014,"Mato Grosso","Junho",1.795,2014-01-01
2005,"Pernambuco","Dezembro",191,2005-01-01
2005,"Sao Paulo","Setembro",231,2005-01-01
2011,"Ceara","Julho",18,2011-01-01
2012,"Santa Catarina","Maio",60,2012-01-01
2008,"Piau","Agosto",290,2008-01-01
2014,"Rio","Agosto",1.168,2014-01-01
2000,"Acre","Mar�o",11,2000-01-01
1999,"Santa Catarina","Fevereiro",2,1999-01-01
2016,"Rio","Outubro",129,2016-01-01
2004,"Maranhao","Janeiro",241,2004-01-01
1999,"Tocantins","Abril",9,1999-01-01
2010,"Maranhao","Agosto",6.353,2010-01-01
2005,"Goias","Outubro",1.717,2005-01-01
2011,"Rio","Outubro",114,2011-01-01
2012,"Paraiba","Novembro",130,2012-01-01
2013,"Maranhao","Agosto",2.098,2013-01-01
2012,"Paraiba","Agosto",522,2012-01-01
2000,"Rio","Setembro",27,2000-01-01
2003,"Roraima","Novembro",27,2003-01-01
2009,"Bahia","Julho",321,2009-01-01
2003,"Goias","Novembro",168,2003-01-01
2014,"Rondonia","Fevereiro",5,2014-01-01
2014,"Espirito Santo","Abril",15,2014-01-01
2012,"Minas Gerais","Janeiro",75,2012-01-01
2010,"Tocantins","Agosto",7.865,2010-01-01
2001,"Maranhao","Julho",549,2001-01-01
2015,"Rondonia","Novembro",1.002,2015-01-01
2004,"Goias","Abril",32,2004-01-01
2017,"Amazonas","Janeiro",65,2017-01-01
2000,"Bahia","Abril",23,2000-01-01
2004,"Par�","Julho",4.436,2004-01-01
2002,"Paraiba","Agosto",38,2002-01-01
1998,"Bahia","Mar�o",0,1998-01-01
2012,"Acre","Outubro",348,2012-01-01
2012,"Amazonas","Janeiro",6,2012-01-01
2017,"Roraima","Janeiro",108,2017-01-01
2013,"Amapa","Novembro",341,2013-01-01
2017,"Santa Catarina","Abril",26,2017-01-01
2000,"Sergipe","Mar�o",6,2000-01-01
2012,"Paraiba","Maio",10,2012-01-01
2006,"Rio","Novembro",1,2006-01-01
2007,"Santa Catarina","Abril",2,2007-01-01
2017,"Sergipe","Mar�o",16,2017-01-01
2006,"Maranhao","Abril",9,2006-01-01
2008,"Rio","Janeiro",70,2008-01-01
2006,"Paraiba","Janeiro",83,2006-01-01
2008,"Espirito Santo","Abril",8,2008-01-01
2004,"Ceara","Outubro",1.217,2004-01-01
2003,"Maranhao","Maio",60,2003-01-01
2007,"Alagoas","Agosto",3,2007-01-01
2008,"Roraima","Outubro",78,2008-01-01
2007,"Piau","Maio",52,2007-01-01
2017,"Rio","Junho",103,2017-01-01
2012,"Bahia","Abril",396,2012-01-01
2014,"Piau","Dezembro",346,2014-01-01
2013,"Rio","Junho",17,2013-01-01
2014,"Piau","Agosto",2.265,2014-01-01
2000,"Alagoas","Mar�o",32,2000-01-01
2008,"Mato Grosso","Julho",116,2008-01-01
2002,"Ceara","Dezembro",1.787,2002-01-01
2003,"Santa Catarina","Fevereiro",43,2003-01-01
2010,"Piau","Junho",208,2010-01-01
2015,"Amapa","Mar�o",2,2015-01-01
2011,"Ceara","Junho",5,2011-01-01
2016,"Paraiba","Outubro",304,2016-01-01
2005,"Piau","Agosto",943,2005-01-01
2003,"Minas Gerais","Julho",407,2003-01-01
2011,"Roraima","Dezembro",249,2011-01-01
2002,"Rio","Mar�o",26,2002-01-01
2006,"Roraima","Outubro",135,2006-01-01
2010,"Alagoas","Maio",0,2010-01-01
2008,"Rio","Novembro",82,2008-01-01
2011,"Piau","Junho",462,2011-01-01
2017,"Mato Grosso","Maio",72,2017-01-01
2016,"Rondonia","Mar�o",25,2016-01-01
2013,"Sergipe","Junho",1,2013-01-01
2011,"Minas Gerais","Dezembro",43,2011-01-01
2006,"Ceara","Julho",1,2006-01-01
2004,"Roraima","Abril",182,2004-01-01
1998,"Mato Grosso","Setembro",10.363,1998-01-01
2017,"Santa Catarina","Junho",70,2017-01-01
2014,"Minas Gerais","Janeiro",133,2014-01-01
2016,"Minas Gerais","Mar�o",123,2016-01-01
2013,"Roraima","Fevereiro",62,2013-01-01
2007,"Par�","Agosto",14.352,2007-01-01
2005,"Goias","Junho",189,2005-01-01
2008,"Santa Catarina","Novembro",16,2008-01-01
2002,"Acre","Mar�o",0,2002-01-01
2013,"Bahia","Janeiro",125,2013-01-01
2012,"Rio","Outubro",163,2012-01-01
2008,"Pernambuco","Outubro",274,2008-01-01
2000,"Ceara","Janeiro",1,2000-01-01
2006,"Tocantins","Mar�o",11,2006-01-01
2000,"Pernambuco","Setembro",130,2000-01-01
1998,"Ceara","Janeiro",0,1998-01-01
2001,"Pernambuco","Fevereiro",2,2001-01-01
2014,"Tocantins","Outubro",4,2014-01-01
2006,"Sao Paulo","Junho",97,2006-01-01
2013,"Acre","Abril",19,2013-01-01
2001,"Pernambuco","Agosto",27,2001-01-01
2002,"Sergipe","Agosto",2,2002-01-01
2000,"Pernambuco","Outubro",411,2000-01-01
2010,"Piau","Abril",56,2010-01-01
1999,"Santa Catarina","Julho",2,1999-01-01
2001,"Rio","Dezembro",2,2001-01-01
2004,"Goias","Mar�o",36,2004-01-01
1999,"Mato Grosso","Dezembro",306,1999-01-01
2007,"Distrito Federal","Dezembro",0,2007-01-01
2017,"Rio","Abril",12,2017-01-01
2007,"Ceara","Julho",11,2007-01-01
2013,"Pernambuco","Maio",9,2013-01-01
2008,"Piau","Maio",12,2008-01-01
2000,"Maranhao","Maio",28,2000-01-01
2010,"Mato Grosso","Junho",149,2010-01-01
2010,"Santa Catarina","Abril",19,2010-01-01
2001,"Roraima","Agosto",4,2001-01-01
2013,"Alagoas","Janeiro",49,2013-01-01
1999,"Acre","Setembro",209,1999-01-01
2013,"Distrito Federal","Maio",2,2013-01-01
2008,"Roraima","Janeiro",245,2008-01-01
2002,"Distrito Federal","Fevereiro",0,2002-01-01
2011,"Rio","Junho",12,2011-01-01
2007,"Santa Catarina","Junho",11,2007-01-01
2007,"Santa Catarina","Novembro",26,2007-01-01
2009,"Ceara","Setembro",101,2009-01-01
2010,"Roraima","Junho",0,2010-01-01
2015,"Bahia","Dezembro",1.408,2015-01-01
2009,"Ceara","Maio",0,2009-01-01
2015,"Santa Catarina","Abril",32,2015-01-01
2007,"Acre","Maio",1,2007-01-01
2017,"Goias","Mar�o",115,2017-01-01
2006,"Roraima","Novembro",26,2006-01-01
2009,"Distrito Federal","Novembro",0,2009-01-01
2017,"Maranhao","Outubro",6.011,2017-01-01
2007,"Mato Grosso","Mar�o",476,2007-01-01
2004,"Espirito Santo","Novembro",42,2004-01-01
2009,"Mato Grosso","Fevereiro",164,2009-01-01
2015,"Espirito Santo","Outubro",307,2015-01-01
2012,"Rio","Abril",12,2012-01-01
2010,"Sergipe","Setembro",0,2010-01-01
2012,"Minas Gerais","Dezembro",189,2012-01-01
1999,"Bahia","Janeiro",114,1999-01-01
2017,"Minas Gerais","Novembro",136,2017-01-01
2004,"Rio","Abril",3,2004-01-01
2007,"Sao Paulo","Julho",94,2007-01-01
2017,"Tocantins","Junho",1.32,2017-01-01
2000,"Roraima","Abril",0,2000-01-01
2008,"Bahia","Janeiro",314,2008-01-01
2005,"Amazonas","Janeiro",44,2005-01-01
2011,"Roraima","Junho",6,2011-01-01
2013,"Mato Grosso","Abril",78,2013-01-01
2007,"Distrito Federal","Mar�o",1,2007-01-01
2004,"Mato Grosso","Junho",394,2004-01-01
2002,"Amazonas","Maio",8,2002-01-01
2001,"Rio","Mar�o",0,2001-01-01
2015,"Bahia","Abril",190,2015-01-01
2015,"Mato Grosso","Dezembro",394,2015-01-01
2002,"Par�","Janeiro",144,2002-01-01
1999,"Par�","Mar�o",7,1999-01-01
2000,"Roraima","Dezembro",77,2000-01-01
2001,"Paraiba","Maio",4,2001-01-01
2004,"Alagoas","Junho",0,2004-01-01
1998,"Piau","Novembro",424,1998-01-01
2004,"Santa Catarina","Mar�o",73,2004-01-01
2010,"Rondonia","Dezembro",158,2010-01-01
2011,"Minas Gerais","Agosto",2.742,2011-01-01
2011,"Ceara","Fevereiro",2,2011-01-01
2015,"Sergipe","Fevereiro",40,2015-01-01
2016,"Paraiba","Mar�o",63,2016-01-01
1999,"Mato Grosso","Novembro",1.194,1999-01-01
2000,"Distrito Federal","Maio",2,2000-01-01
2009,"Amapa","Janeiro",4,2009-01-01
2005,"Espirito Santo","Junho",8,2005-01-01
2013,"Minas Gerais","Julho",462,2013-01-01
2003,"Roraima","Janeiro",547,2003-01-01
2012,"Alagoas","Janeiro",36,2012-01-01
2017,"Rondonia","Mar�o",21,2017-01-01
1999,"Sao Paulo","Maio",500,1999-01-01
2002,"Minas Gerais","Outubro",4.788,2002-01-01
2009,"Mato Grosso","Julho",354,2009-01-01
2004,"Acre","Setembro",1.978,2004-01-01
1999,"Sergipe","Outubro",0,1999-01-01
1998,"Bahia","Julho",219,1998-01-01
2012,"Par�","Dezembro",1.812,2012-01-01
2010,"Par�","Setembro",10.81,2010-01-01
2005,"Bahia","Junho",211,2005-01-01
2010,"Tocantins","Outubro",2.272,2010-01-01
2016,"Goias","Janeiro",52,2016-01-01
2014,"Sergipe","Julho",0,2014-01-01
2015,"Piau","Outubro",4.068,2015-01-01
2003,"Amazonas","Maio",2,2003-01-01
2014,"Goias","Agosto",1.255,2014-01-01
2016,"Paraiba","Fevereiro",4,2016-01-01
1998,"Goias","Fevereiro",0,1998-01-01
2015,"Maranhao","Janeiro",494,2015-01-01
2010,"Piau","Maio",231,2010-01-01
2016,"Piau","Abril",35,2016-01-01
2016,"Par�","Fevereiro",430,2016-01-01
2008,"Piau","Dezembro",329,2008-01-01
2008,"Sao Paulo","Abril",84,2008-01-01
2001,"Ceara","Fevereiro",0,2001-01-01
2010,"Alagoas","Abril",3,2010-01-01
2007,"Distrito Federal","Novembro",0,2007-01-01
1998,"Rio","Outubro",6,1998-01-01
2009,"Pernambuco","Dezembro",351,2009-01-01
2007,"Mato Grosso","Dezembro",15,2007-01-01
1998,"Rio","Dezembro",1,1998-01-01
1999,"Sergipe","Agosto",0,1999-01-01
2014,"Alagoas","Julho",1,2014-01-01
2012,"Pernambuco","Novembro",181,2012-01-01
2011,"Piau","Fevereiro",11,2011-01-01
2002,"Sao Paulo","Junho",562,2002-01-01
2016,"Maranhao","Agosto",3.723,2016-01-01
2015,"Rio","Novembro",30,2015-01-01
2016,"Santa Catarina","Dezembro",20,2016-01-01
2015,"Rio","Fevereiro",36,2015-01-01
2001,"Mato Grosso","Junho",249,2001-01-01
2007,"Mato Grosso","Outubro",4.89,2007-01-01
2006,"Minas Gerais","Janeiro",109,2006-01-01
2001,"Sergipe","Abril",0,2001-01-01
2004,"Minas Gerais","Maio",79,2004-01-01
1999,"Bahia","Fevereiro",157,1999-01-01
2014,"Amazonas","Novembro",676,2014-01-01
2002,"Espirito Santo","Novembro",22,2002-01-01
2010,"Rio","Dezembro",54,2010-01-01
1998,"Minas Gerais","Mar�o",0,1998-01-01
2005,"Distrito Federal","Dezembro",0,2005-01-01
2003,"Roraima","Junho",0,2003-01-01
2011,"Sergipe","Maio",0,2011-01-01
2006,"Maranhao","Setembro",2.907,2006-01-01
2013,"Amazonas","Maio",19,2013-01-01
2015,"Rio","Agosto",414,2015-01-01
2005,"Amazonas","Mar�o",12,2005-01-01
2016,"Amazonas","Novembro",591,2016-01-01
2012,"Roraima","Mar�o",99,2012-01-01
2017,"Santa Catarina","Setembro",626,2017-01-01
2014,"Rio","Junho",2,2014-01-01
2007,"Espirito Santo","Novembro",112,2007-01-01
2014,"Maranhao","Junho",812,2014-01-01
1999,"Acre","Dezembro",0,1999-01-01
2003,"Maranhao","Novembro",4.929,2003-01-01
2000,"Rio","Julho",22,2000-01-01
2011,"Pernambuco","Setembro",243,2011-01-01
1998,"Sergipe","Junho",0,1998-01-01
2010,"Rio","Maio",9,2010-01-01
1999,"Tocantins","Mar�o",1,1999-01-01
2011,"Alagoas","Setembro",5,2011-01-01
1998,"Espirito Santo","Mar�o",0,1998-01-01
1999,"Minas Gerais","Abril",27,1999-01-01
2016,"Distrito Federal","Outubro",9,2016-01-01
2014,"Sao Paulo","Outubro",887,2014-01-01
2000,"Rondonia","Julho",117,2000-01-01
2009,"Espirito Santo","Agosto",17,2009-01-01
2000,"Paraiba","Novembro",65,2000-01-01
2004,"Maranhao","Fevereiro",22,2004-01-01
2017,"Distrito Federal","Setembro",122,2017-01-01
2009,"Distrito Federal","Fevereiro",0,2009-01-01
2006,"Mato Grosso","Outubro",2.327,2006-01-01
2014,"Par�","Setembro",6.787,2014-01-01
2003,"Amazonas","Outubro",725,2003-01-01
2007,"Distrito Federal","Junho",21,2007-01-01
2012,"Tocantins","Setembro",7.46,2012-01-01
2016,"Rio","Janeiro",68,2016-01-01
2000,"Paraiba","Setembro",9,2000-01-01
2010,"Rio","Abril",10,2010-01-01
2014,"Bahia","Fevereiro",107,2014-01-01
2003,"Paraiba","Outubro",1.228,2003-01-01
2013,"Distrito Federal","Junho",4,2013-01-01
2002,"Mato Grosso","Junho",517,2002-01-01
2013,"Rondonia","Mar�o",23,2013-01-01
2011,"Minas Gerais","Maio",151,2011-01-01
2008,"Rio","Fevereiro",2,2008-01-01
2010,"Rondonia","Julho",747,2010-01-01
2000,"Sao Paulo","Janeiro",36,2000-01-01
2012,"Par�","Julho",661,2012-01-01
2002,"Santa Catarina","Abril",7,2002-01-01
2015,"Santa Catarina","Agosto",379,2015-01-01
2005,"Amapa","Julho",0,2005-01-01
2011,"Rio","Fevereiro",36,2011-01-01
2014,"Par�","Outubro",6.448,2014-01-01
2007,"Ceara","Maio",0,2007-01-01
2017,"Tocantins","Agosto",3.536,2017-01-01
2005,"Santa Catarina","Abril",25,2005-01-01
2007,"Espirito Santo","Maio",1,2007-01-01
2010,"Paraiba","Agosto",9,2010-01-01
1998,"Acre","Julho",37,1998-01-01
2007,"Alagoas","Fevereiro",28,2007-01-01
2000,"Piau","Novembro",450,2000-01-01
2003,"Piau","Novembro",1.248,2003-01-01
2017,"Maranhao","Maio",142,2017-01-01
2014,"Tocantins","Janeiro",89,2014-01-01
2002,"Bahia","Outubro",5.414,2002-01-01
2004,"Minas Gerais","Dezembro",125,2004-01-01
2006,"Rio","Dezembro",0,2006-01-01
2001,"Paraiba","Junho",43,2001-01-01
2011,"Acre","Abril",2,2011-01-01
2014,"Amazonas","Mar�o",50,2014-01-01
2009,"Paraiba","Janeiro",115,2009-01-01
2005,"Paraiba","Novembro",597,2005-01-01
2002,"Goias","Fevereiro",9,2002-01-01
2010,"Rio","Janeiro",13,2010-01-01
1998,"Rio","Maio",0,1998-01-01
2015,"Mato Grosso","Janeiro",960,2015-01-01
2014,"Par�","Maio",70,2014-01-01
2005,"Amapa","Junho",2,2005-01-01
2014,"Ceara","Janeiro",115,2014-01-01
2000,"Roraima","Agosto",9,2000-01-01
2017,"Alagoas","Janeiro",38,2017-01-01
2013,"Acre","Janeiro",0,2013-01-01
2008,"Santa Catarina","Outubro",56,2008-01-01
2009,"Paraiba","Julho",34,2009-01-01
2007,"Acre","Janeiro",0,2007-01-01
2008,"Piau","Outubro",1.83,2008-01-01
2003,"Amazonas","Janeiro",158,2003-01-01
2007,"Paraiba","Agosto",580,2007-01-01
2002,"Amapa","Janeiro",7,2002-01-01
2017,"Roraima","Fevereiro",129,2017-01-01
2005,"Espirito Santo","Agosto",12,2005-01-01
2000,"Ceara","Mar�o",9,2000-01-01
2015,"Goias","Julho",347,2015-01-01
1999,"Par�","Abril",6,1999-01-01
2005,"Rio","Janeiro",152,2005-01-01
2003,"Maranhao","Agosto",2.023,2003-01-01
2017,"Par�","Agosto",11.962,2017-01-01
2006,"Mato Grosso","Janeiro",947,2006-01-01
2001,"Roraima","Outubro",13,2001-01-01
2007,"Paraiba","Janeiro",69,2007-01-01
1998,"Pernambuco","Agosto",12,1998-01-01
2007,"Maranhao","Novembro",2.297,2007-01-01
1998,"Bahia","Dezembro",82,1998-01-01
2014,"Amazonas","Janeiro",46,2014-01-01
2009,"Rio","Maio",37,2009-01-01
2003,"Minas Gerais","Outubro",5.391,2003-01-01
2015,"Espirito Santo","Dezembro",61,2015-01-01
2013,"Paraiba","Julho",1,2013-01-01
2011,"Piau","Outubro",1.484,2011-01-01
1999,"Maranhao","Mar�o",17,1999-01-01
2016,"Roraima","Dezembro",136,2016-01-01
2006,"Piau","Novembro",740,2006-01-01
2005,"Paraiba","Maio",125,2005-01-01
1999,"Amazonas","Julho",11,1999-01-01
2001,"Paraiba","Setembro",98,2001-01-01
1999,"Paraiba","Janeiro",26,1999-01-01
2014,"Sergipe","Janeiro",20,2014-01-01
2007,"Rio","Fevereiro",24,2007-01-01
2007,"Amapa","Setembro",61,2007-01-01
2010,"Goias","Janeiro",59,2010-01-01
2014,"Rio","Mar�o",38,2014-01-01
2016,"Rondonia","Outubro",1.844,2016-01-01
2009,"Minas Gerais","Outubro",1.013,2009-01-01
2017,"Rondonia","Outubro",2.19,2017-01-01
2016,"Alagoas","Fevereiro",14,2016-01-01
2016,"Pernambuco","Outubro",319,2016-01-01
2014,"Minas Gerais","Mar�o",77,2014-01-01
1998,"Rondonia","Agosto",2.254,1998-01-01
2010,"Minas Gerais","Julho",707,2010-01-01
2001,"Rondonia","Mar�o",0,2001-01-01
2008,"Paraiba","Janeiro",77,2008-01-01
2010,"Mato Grosso","Junho",1.025,2010-01-01
2008,"Amazonas","Maio",1,2008-01-01
2011,"Paraiba","Setembro",55,2011-01-01
2010,"Mato Grosso","Agosto",1.721,2010-01-01
2013,"Minas Gerais","Fevereiro",143,2013-01-01
2006,"Paraiba","Junho",0,2006-01-01
2001,"Bahia","Maio",85,2001-01-01
2004,"Sergipe","Junho",0,2004-01-01
2000,"Maranhao","Mar�o",6,2000-01-01
2010,"Mato Grosso","Setembro",1.505,2010-01-01
2007,"Rio","Mar�o",8,2007-01-01
2016,"Maranhao","Setembro",3.166,2016-01-01
1999,"Ceara","Maio",5,1999-01-01
2002,"Roraima","Agosto",7,2002-01-01
2001,"Paraiba","Agosto",342,2001-01-01
2007,"Bahia","Dezembro",259,2007-01-01
2011,"Amapa","Agosto",16,2011-01-01
2015,"Mato Grosso","Abril",65,2015-01-01
2005,"Goias","Julho",363,2005-01-01
1999,"Mato Grosso","Fevereiro",28,1999-01-01
2001,"Mato Grosso","Novembro",373,2001-01-01
2013,"Goias","Mar�o",79,2013-01-01
2009,"Piau","Mar�o",17,2009-01-01
2008,"Rio","Dezembro",32,2008-01-01
2017,"Rio","Fevereiro",34,2017-01-01
2016,"Amapa","Abril",0,2016-01-01
2005,"Santa Catarina","Agosto",391,2005-01-01
2011,"Alagoas","Outubro",23,2011-01-01
2015,"Amazonas","Outubro",2.494,2015-01-01
2011,"Bahia","Janeiro",101,2011-01-01
1998,"Mato Grosso","Maio",0,1998-01-01
2002,"Rio","Junho",4,2002-01-01
2010,"Espirito Santo","Dezembro",10,2010-01-01
1998,"Roraima","Fevereiro",0,1998-01-01
2001,"Rio","Agosto",36,2001-01-01
2009,"Par�","Novembro",10.012,2009-01-01
2010,"Santa Catarina","Maio",1,2010-01-01
2005,"Amazonas","Agosto",2.316,2005-01-01
2003,"Mato Grosso","Fevereiro",592,2003-01-01
2006,"Espirito Santo","Dezembro",0,2006-01-01
2012,"Maranhao","Janeiro",326,2012-01-01
2013,"Mato Grosso","Junho",35,2013-01-01
2008,"Pernambuco","Agosto",2,2008-01-01
2013,"Ceara","Dezembro",956,2013-01-01
1999,"Espirito Santo","Agosto",60,1999-01-01
2006,"Rio","Julho",54,2006-01-01
2008,"Amapa","Setembro",83,2008-01-01
2000,"Alagoas","Dezembro",2,2000-01-01
2005,"Acre","Julho",368,2005-01-01
2003,"Rio","Julho",7,2003-01-01
2015,"Distrito Federal","Junho",1,2015-01-01
1998,"Rondonia","Junho",26,1998-01-01
2001,"Rio","Mar�o",0,2001-01-01
2007,"Pernambuco","Junho",1,2007-01-01
2006,"Minas Gerais","Fevereiro",96,2006-01-01
2008,"Goias","Fevereiro",25,2008-01-01
2014,"Alagoas","Outubro",7,2014-01-01
2005,"Espirito Santo","Maio",5,2005-01-01
2011,"Espirito Santo","Novembro",6,2011-01-01
2012,"Paraiba","Abril",38,2012-01-01
2015,"Rio","Fevereiro",41,2015-01-01
2005,"Alagoas","Abril",1,2005-01-01
2010,"Mato Grosso","Dezembro",276,2010-01-01
1999,"Ceara","Abril",6,1999-01-01
2003,"Mato Grosso","Julho",182,2003-01-01
2017,"Rondonia","Agosto",4.287,2017-01-01
2015,"Pernambuco","Mar�o",33,2015-01-01
2001,"Paraiba","Dezembro",70,2001-01-01
2017,"Bahia","Setembro",1.791,2017-01-01
2006,"Par�","Setembro",8.372,2006-01-01
2013,"Espirito Santo","Mar�o",13,2013-01-01
2007,"Sergipe","Fevereiro",22,2007-01-01
2013,"Mato Grosso","Novembro",423,2013-01-01
1999,"Distrito Federal","Setembro",12,1999-01-01
2004,"Minas Gerais","Setembro",4.339,2004-01-01
2014,"Piau","Mar�o",88,2014-01-01
2003,"Pernambuco","Janeiro",188,2003-01-01
2003,"Mato Grosso","Abril",903,2003-01-01
2004,"Alagoas","Fevereiro",7,2004-01-01
2006,"Amapa","Dezembro",74,2006-01-01
2013,"Rondonia","Abril",9,2013-01-01
2002,"Amazonas","Julho",146,2002-01-01
2001,"Rio","Fevereiro",3,2001-01-01
1999,"Amazonas","Novembro",32,1999-01-01
2001,"Tocantins","Janeiro",19,2001-01-01
2006,"Pernambuco","Outubro",310,2006-01-01
2011,"Goias","Junho",314,2011-01-01
1998,"Ceara","Outubro",1.014,1998-01-01
2012,"Rondonia","Julho",205,2012-01-01
1998,"Santa Catarina","Abril",0,1998-01-01
2008,"Amapa","Mar�o",1,2008-01-01
2012,"Rio","Agosto",23,2012-01-01
2014,"Paraiba","Novembro",68,2014-01-01
2004,"Mato Grosso","Mar�o",743,2004-01-01
2013,"Bahia","Agosto",610,2013-01-01
2011,"Acre","Setembro",1.204,2011-01-01
2014,"Santa Catarina","Janeiro",58,2014-01-01
2006,"Santa Catarina","Novembro",45,2006-01-01
2010,"Par�","Junho",94,2010-01-01
2002,"Piau","Julho",534,2002-01-01
2015,"Par�","Outubro",7.781,2015-01-01
2006,"Minas Gerais","Abril",50,2006-01-01
2005,"Goias","Maio",164,2005-01-01
2016,"Minas Gerais","Fevereiro",207,2016-01-01
2004,"Distrito Federal","Abril",1,2004-01-01
2003,"Maranhao","Outubro",6.085,2003-01-01
1999,"Tocantins","Junho",113,1999-01-01
2010,"Piau","Novembro",1.417,2010-01-01
2000,"Sao Paulo","Fevereiro",25,2000-01-01
2004,"Distrito Federal","Outubro",18,2004-01-01
2001,"Minas Gerais","Maio",83,2001-01-01
1998,"Sergipe","Novembro",12,1998-01-01
2000,"Sao Paulo","Outubro",647,2000-01-01
2007,"Rio","Novembro",13,2007-01-01
2016,"Alagoas","Maio",4,2016-01-01
1999,"Minas Gerais","Julho",318,1999-01-01
2006,"Bahia","Novembro",239,2006-01-01
2005,"Mato Grosso","Agosto",11.57,2005-01-01
2015,"Sergipe","Dezembro",63,2015-01-01
2012,"Rio","Fevereiro",13,2012-01-01
2012,"Mato Grosso","Dezembro",492,2012-01-01
2015,"Roraima","Novembro",280,2015-01-01
2004,"Pernambuco","Agosto",41,2004-01-01
2012,"Santa Catarina","Junho",42,2012-01-01
2007,"Goias","Janeiro",28,2007-01-01
1999,"Pernambuco","Julho",2,1999-01-01
2005,"Rio","Dezembro",149,2005-01-01
2008,"Paraiba","Dezembro",62,2008-01-01
2006,"Amazonas","Outubro",721,2006-01-01
2004,"Pernambuco","Setembro",192,2004-01-01
2011,"Ceara","Outubro",415,2011-01-01
2012,"Roraima","Junho",22,2012-01-01
2001,"Par�","Novembro",4.938,2001-01-01
1999,"Mato Grosso","Julho",3.926,1999-01-01
1999,"Roraima","Novembro",15,1999-01-01
2009,"Maranhao","Janeiro",240,2009-01-01
2004,"Paraiba","Novembro",331,2004-01-01
2016,"Tocantins","Fevereiro",383,2016-01-01
2000,"Roraima","Junho",0,2000-01-01
2013,"Piau","Janeiro",72,2013-01-01
2003,"Mato Grosso","Outubro",5.341,2003-01-01
2012,"Tocantins","Abril",226,2012-01-01
2010,"Mato Grosso","Julho",3.442,2010-01-01
2015,"Rio","Dezembro",11,2015-01-01
2000,"Amapa","Novembro",157,2000-01-01
2004,"Espirito Santo","Julho",4,2004-01-01
2004,"Rio","Julho",23,2004-01-01
2001,"Rondonia","Setembro",1.927,2001-01-01
2006,"Minas Gerais","Junho",73,2006-01-01
2009,"Roraima","Julho",18,2009-01-01
2006,"Mato Grosso","Abril",161,2006-01-01
2008,"Par�","Abril",7,2008-01-01
2008,"Rio","Maio",0,2008-01-01
2008,"Alagoas","Maio",0,2008-01-01
2001,"Mato Grosso","Setembro",8.49,2001-01-01
2011,"Rio","Fevereiro",5,2011-01-01
2009,"Roraima","Janeiro",45,2009-01-01
2013,"Goias","Janeiro",33,2013-01-01
2013,"Paraiba","Janeiro",28,2013-01-01
2000,"Ceara","Dezembro",389,2000-01-01
2015,"Sergipe","Agosto",0,2015-01-01
2005,"Rondonia","Maio",38,2005-01-01
2003,"Paraiba","Outubro",381,2003-01-01
2015,"Sao Paulo","Maio",65,2015-01-01
2009,"Mato Grosso","Maio",516,2009-01-01
2014,"Mato Grosso","Outubro",581,2014-01-01
2012,"Acre","Junho",7,2012-01-01
2013,"Maranhao","Abril",62,2013-01-01
1998,"Ceara","Dezembro",276,1998-01-01
2008,"Mato Grosso","Janeiro",63,2008-01-01
2000,"Sao Paulo","Abril",102,2000-01-01
2005,"Piau","Mar�o",13,2005-01-01
2012,"Maranhao","Maio",286,2012-01-01
2015,"Rondonia","Maio",13,2015-01-01
2006,"Mato Grosso","Outubro",244,2006-01-01
2000,"Minas Gerais","Abril",49,2000-01-01
2000,"Roraima","Janeiro",18,2000-01-01
2017,"Bahia","Junho",329,2017-01-01
2002,"Mato Grosso","Janeiro",172,2002-01-01
2011,"Acre","Mar�o",0,2011-01-01
2007,"Maranhao","Julho",1.205,2007-01-01
1998,"Piau","Setembro",1.991,1998-01-01
2013,"Par�","Junho",173,2013-01-01
2010,"Paraiba","Junho",55,2010-01-01
2006,"Amazonas","Abril",5,2006-01-01
2014,"Mato Grosso","Novembro",1.018,2014-01-01
2002,"Roraima","Janeiro",302,2002-01-01
2005,"Bahia","Maio",120,2005-01-01
2008,"Roraima","Setembro",17,2008-01-01
2007,"Rio","Maio",3,2007-01-01
2012,"Mato Grosso","Novembro",115,2012-01-01
2007,"Sao Paulo","Agosto",470,2007-01-01
2007,"Mato Grosso","Fevereiro",213,2007-01-01
2013,"Espirito Santo","Maio",14,2013-01-01
2013,"Pernambuco","Junho",12,2013-01-01
2013,"Par�","Mar�o",19,2013-01-01
2003,"Bahia","Maio",106,2003-01-01
2017,"Amapa","Mar�o",0,2017-01-01
2005,"Rondonia","Fevereiro",42,2005-01-01
2001,"Mato Grosso","Mar�o",39,2001-01-01
2005,"Mato Grosso","Junho",2.294,2005-01-01
2004,"Pernambuco","Abril",5,2004-01-01
2001,"Espirito Santo","Maio",8,2001-01-01
2005,"Paraiba","Dezembro",159,2005-01-01
2004,"Maranhao","Outubro",3.604,2004-01-01
2010,"Par�","Janeiro",437,2010-01-01
2011,"Mato Grosso","Julho",1.061,2011-01-01
2002,"Espirito Santo","Maio",5,2002-01-01
2012,"Rondonia","Fevereiro",9,2012-01-01
2012,"Ceara","Mar�o",10,2012-01-01
